Date,Open,High,Low,Close,Adj Close,Volume
2021-09-23,3.790000,3.940000,3.770000,3.910000,3.844382,31620800
2021-09-24,3.850000,3.870000,3.770000,3.800000,3.736228,24851700
2021-09-27,3.780000,3.940000,3.750000,3.880000,3.814885,61769700
2021-09-28,3.930000,3.970000,3.740000,3.740000,3.677235,51745900
2021-09-29,3.790000,3.890000,3.760000,3.840000,3.775557,49758900
2021-09-30,3.850000,3.880000,3.790000,3.830000,3.765724,34966900
2021-10-01,3.880000,4.020000,3.860000,3.990000,3.923039,37669000
2021-10-04,3.840000,3.930000,3.780000,3.840000,3.779346,28393200
2021-10-05,3.830000,3.920000,3.790000,3.860000,3.799029,26196500
2021-10-06,3.790000,3.920000,3.750000,3.900000,3.838398,37082900
2021-10-07,3.900000,3.900000,3.790000,3.800000,3.739978,31128100
2021-10-08,3.830000,3.910000,3.780000,3.810000,3.749820,47634000
2021-10-11,3.810000,3.830000,3.720000,3.720000,3.661241,21751700
2021-10-12,3.780000,3.780000,3.670000,3.700000,3.641557,13082800
2021-10-13,3.710000,3.730000,3.620000,3.720000,3.661241,26474500
2021-10-14,3.720000,3.730000,3.660000,3.680000,3.621873,21636900
2021-10-15,3.710000,3.930000,3.700000,3.910000,3.848240,42368400
2021-10-18,3.860000,3.960000,3.810000,3.920000,3.858082,37345100
2021-10-19,3.860000,3.860000,3.750000,3.760000,3.700609,29058900
2021-10-20,3.790000,3.930000,3.770000,3.890000,3.828556,41897100
2021-10-21,3.840000,3.880000,3.680000,3.750000,3.690767,48939900
2021-10-22,3.670000,3.680000,3.440000,3.600000,3.543137,83335900
2021-10-25,3.690000,3.770000,3.670000,3.740000,3.680925,32890600
2021-10-26,3.660000,3.700000,3.620000,3.640000,3.582505,38080000
2021-10-27,3.740000,3.790000,3.670000,3.680000,3.621873,34338900
2021-10-28,3.650000,3.690000,3.580000,3.650000,3.592347,39874000
2021-10-29,3.630000,3.660000,3.500000,3.500000,3.444716,40515300
2021-11-01,3.550000,3.650000,3.540000,3.630000,3.572663,27907400
2021-11-02,3.590000,3.610000,3.530000,3.560000,3.503768,15902100
2021-11-03,3.570000,3.710000,3.550000,3.630000,3.575676,41518800
2021-11-04,3.590000,3.610000,3.390000,3.410000,3.358968,47738800
2021-11-05,3.560000,3.690000,3.560000,3.610000,3.555975,55027300
2021-11-08,3.590000,3.670000,3.520000,3.530000,3.477172,31479000
2021-11-09,3.580000,3.600000,3.500000,3.540000,3.487023,37076400
2021-11-10,3.610000,3.820000,3.610000,3.710000,3.654479,57185000
2021-11-11,3.780000,3.860000,3.760000,3.800000,3.743132,45276700
2021-11-12,3.780000,3.850000,3.730000,3.850000,3.792383,38641700
2021-11-15,3.830000,3.880000,3.820000,3.820000,3.762833,15091700
2021-11-16,3.760000,3.800000,3.710000,3.790000,3.733281,34481300
2021-11-17,3.770000,3.820000,3.740000,3.750000,3.693880,41582400
2021-11-18,3.680000,3.720000,3.600000,3.700000,3.644629,38004500
2021-11-19,3.700000,3.720000,3.640000,3.670000,3.615077,40421300
2021-11-22,3.680000,3.740000,3.590000,3.600000,3.546125,40404400
2021-11-23,3.580000,3.680000,3.520000,3.650000,3.595376,61090500
2021-11-24,3.660000,3.770000,3.630000,3.760000,3.703730,33220700
2021-11-26,3.670000,3.680000,3.580000,3.650000,3.595376,32031800
2021-11-29,3.660000,3.670000,3.570000,3.580000,3.526424,36665600
2021-11-30,3.600000,3.610000,3.440000,3.520000,3.467322,45347600
2021-12-01,3.600000,3.630000,3.450000,3.460000,3.408220,33565400
2021-12-02,3.570000,3.680000,3.550000,3.670000,3.618215,50928000
2021-12-03,3.720000,3.730000,3.600000,3.630000,3.578779,55577300
2021-12-06,3.680000,3.800000,3.660000,3.710000,3.657650,39703900
2021-12-07,3.700000,3.760000,3.670000,3.720000,3.667509,37296900
2021-12-08,3.700000,3.780000,3.680000,3.740000,3.687227,35047900
2021-12-09,3.680000,3.690000,3.590000,3.620000,3.568920,27310800
2021-12-10,3.600000,3.620000,3.530000,3.560000,3.509767,54140100
2021-12-13,3.590000,3.610000,3.450000,3.450000,3.401319,26514400
2021-12-14,3.570000,3.630000,3.490000,3.490000,3.440754,26614500
2021-12-15,3.500000,3.520000,3.420000,3.510000,3.460472,46972100
2021-12-16,3.500000,3.580000,3.470000,3.560000,3.509767,44787100
2021-12-17,3.510000,3.520000,3.440000,3.480000,3.430896,40158000
2021-12-20,3.400000,3.410000,3.310000,3.340000,3.292871,56940200
2021-12-21,3.340000,3.350000,3.260000,3.290000,3.284883,25012700
2021-12-22,3.290000,3.350000,3.250000,3.340000,3.334805,40509400
2021-12-23,3.320000,3.380000,3.310000,3.380000,3.374743,28232800
2021-12-27,3.370000,3.440000,3.350000,3.440000,3.434650,19079400
2021-12-28,3.420000,3.460000,3.400000,3.400000,3.394712,25053800
2021-12-29,3.400000,3.420000,3.350000,3.360000,3.354774,24496800
2021-12-30,3.380000,3.440000,3.360000,3.410000,3.404697,34125400
2021-12-31,3.380000,3.450000,3.380000,3.420000,3.414681,9752500
2022-01-03,3.420000,3.480000,3.410000,3.470000,3.464603,35667300
2022-01-04,3.430000,3.520000,3.430000,3.450000,3.447615,43095300
2022-01-05,3.490000,3.520000,3.380000,3.380000,3.377664,36753700
2022-01-06,3.440000,3.500000,3.410000,3.490000,3.487588,36409300
2022-01-07,3.440000,3.570000,3.430000,3.570000,3.567532,37459100
2022-01-10,3.560000,3.580000,3.510000,3.530000,3.527560,41564900
2022-01-11,3.550000,3.650000,3.550000,3.650000,3.647477,37116900
2022-01-12,3.650000,3.680000,3.600000,3.650000,3.647477,45599100
2022-01-13,3.650000,3.740000,3.640000,3.700000,3.697443,39168400
2022-01-14,3.700000,3.790000,3.690000,3.770000,3.767394,47301700
2022-01-18,3.820000,3.850000,3.750000,3.770000,3.767394,51717600
2022-01-19,3.860000,3.890000,3.810000,3.850000,3.847339,35623700
2022-01-20,3.850000,3.920000,3.840000,3.850000,3.847339,30898600
2022-01-21,3.870000,3.900000,3.800000,3.820000,3.817359,43887200
2022-01-24,3.830000,3.870000,3.760000,3.870000,3.867325,70467300
2022-01-25,3.900000,4.070000,3.840000,4.050000,4.047201,58422100
2022-01-26,4.040000,4.120000,4.010000,4.070000,4.067187,64813100
2022-01-27,4.150000,4.180000,4.040000,4.100000,4.097166,43536100
2022-01-28,4.120000,4.170000,4.080000,4.160000,4.157125,43218900
2022-01-31,4.140000,4.300000,4.140000,4.290000,4.287035,35640500
2022-02-01,4.280000,4.340000,4.270000,4.340000,4.337000,25749700
2022-02-02,4.250000,4.250000,4.170000,4.210000,4.210000,28791600
2022-02-03,4.190000,4.300000,4.160000,4.270000,4.270000,38278800
2022-02-04,4.250000,4.310000,4.230000,4.290000,4.290000,32521000
2022-02-07,4.260000,4.360000,4.260000,4.300000,4.300000,33637000
2022-02-08,4.300000,4.350000,4.210000,4.310000,4.310000,35658500
2022-02-09,3.990000,4.000000,3.910000,3.930000,3.930000,122974600
2022-02-10,3.950000,4.060000,3.950000,3.980000,3.980000,65865900
2022-02-11,4.030000,4.100000,3.960000,4.000000,4.000000,65369600
